id,league_id,season_id,venue_id,venue_city,venue_capacity,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_km,home_not_home,travel_outside_state,attendance_ratio,home_win
2306,8,13,208,Swansea,20827,1,16.6,13,83,1004,14,249,19.47,0,336,0,1,0.9614442790608344,1
2315,8,13,209,London,5000,1,18.0,52,66,1007,28,231,9.03,0,7,1,0,1.0,0
2344,8,13,200,Burnley,21401,1,16.9,57,82,996,28,214,9.47,0,63,0,0,0.9958880426148312,0
2324,8,13,19,Watford,22200,1,17.7,65,71,1006,27,236,8.83,0,24,0,0,0.9356756756756756,1
2334,8,13,119,West Bromwich,26445,1,17.7,74,79,1001,26,200,8.22,0,123,0,0,0.8944602004159576,1
252980,301,765,6162,Nantes,37473,1,22.0,33,51,1017,18,258,8.78,0,801,0,1,0.6913777920102474,1
299579,384,802,7189,Roma,72698,1,28.4,6,57,1013,10,219,4.0,0,465,0,0,0.412666098104487,0
401502,564,853,9236,Barcelona,98787,1,26.0,15,69,1015,12,75,3.39,0,829,0,0,0.6653810724083128,0
2353,8,13,117,Leicester,32312,1,17.1,88,75,1014,10,213,8.03,0,138,0,0,0.9905917306263928,0
253023,301,765,6154,Angers,20000,1,19.6,0,53,1018,19,240,5.69,0,735,1,0,0.5071,1
253012,301,765,339996,Toulouse,33150,1,19.9,95,64,1022,33,233,2.67,0,215,0,0,0.5809351432880845,0
253002,301,765,184,Villeneuve d'Ascq,50186,1,19.8,1,58,1012,13,240,5.64,0,394,0,0,0.5778503965249273,0
252990,301,765,6032,Lorient,18110,0,18.1,7,68,1018,15,266,8.44,0,1153,0,0,0.6073992269464384,1
253036,301,765,135,Rennes,29778,1,19.8,89,52,1016,26,250,6.08,0,590,0,0,0.6953119752837665,0
401513,564,853,9237,Granada,23156,1,31.5,0,35,1011,20,285,2.44,1,434,0,0,0.6521419934358266,0
299590,384,802,118500,Torino,41507,1,22.7,76,83,1015,4,17,0.83,1,325,0,0,0.9681258582889634,0
401524,564,853,177,Sevilla,45500,1,28.3,0,47,1015,10,223,1.97,1,821,0,0,0.6461318681318682,0
2362,8,13,212,Sunderland,48707,1,18.3,50,77,1014,10,300,3.25,0,39,0,0,0.8934034122405404,1
253046,301,765,1715,Guingamp,18378,1,20.5,81,61,1024,18,274,6.97,0,886,0,0,0.8736532810969637,0
2373,8,13,214,London,66000,1,21.0,7,53,1018,46,264,6.53,0,156,0,0,0.8632878787878788,0
253058,301,765,6164,Saint-etienne,42000,1,21.9,52,41,1023,28,31,4.36,0,209,0,0,0.5633571428571429,0
299602,384,802,1721,Milano,80018,1,28.2,5,48,1012,10,255,3.03,0,125,0,0,0.3124297033167537,0
401535,564,853,318243,Gijón,29600,1,22.3,0,66,1024,15,60,4.89,0,220,0,0,0.778581081081081,0
401544,564,853,133,San Sebastián,32076,1,19.8,10,70,1026,36,2,2.25,0,347,0,0,0.8641975308641975,1
299628,384,802,5515,Bologna,36532,1,24.7,49,76,1012,10,81,1.78,1,327,0,0,0.5036680170809154,0
