id,league_id,season_id,venue_id,venue_city,venue_capacity,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_km,home_not_home,travel_outside_state,attendance_ratio,home_win,p_home_implied,p_draw_implied,p_away_implied
11868697,301,16043,135,Rennes,29778,1,18.9,26,49,1017,18,300,9.0,0,441,0,0,0.7035395258244341,1,0.39441456281088544,0.31332494901000296,0.29226048817911165
11867301,8,16036,449,Newcastle upon Tyne,52338,1,11.1,25,98,1014,10,111,2.25,0,174,0,0,0.9782185028086668,0,0.24374240549580997,0.29057325169639536,0.46568434280779475
11886105,82,16264,2169,Frankfurt am Main,51500,1,8.6,0,97,1012,5,78,4.08,0,334,0,0,1.0,0,0.47125392526997756,0.25378074544837254,0.27496532928165
11937514,384,16415,142,Torino,27994,1,15.8,62,73,1012,8,7,0.11,0,710,0,0,0.8573265699792812,0,0.245813248812641,0.25684918046856803,0.497337570718791
11895882,564,16326,133,San Sebastián,32076,1,17.2,25,92,1018,10,269,1.17,0,361,0,0,0.940048634493079,1,0.44575383857591616,0.30172506410195976,0.2525210973221241
11937511,384,16415,1721,Milano,80018,1,16.5,53,72,1011,9,120,2.28,1,123,0,0,0.9488240145967156,1,0.3499555626897135,0.30842334276568495,0.34162109454460154
11868705,301,16043,6164,Saint-etienne,42000,1,12.1,91,91,1016,31,328,1.64,1,56,0,0,0.8112142857142857,0,0.2420761802039698,0.2746827920399198,0.48324102775611044
11895875,564,16326,9236,Barcelona,98787,1,20.7,4,80,1016,18,116,4.56,1,826,0,0,0.8232965876076812,0,0.646366100702282,0.20586654356978898,0.14776735572792896
11886112,82,16264,2169,Frankfurt am Main,51500,1,11.0,25,76,1012,10,160,2.61,1,159,0,0,0.9864077669902912,0,0.34793939961443576,0.2544848074261298,0.39757579295943457
11868711,301,16043,51,Nice,36178,1,16.9,25,89,1016,10,338,1.5,1,686,0,0,0.9040024324174912,1,0.1122637348473796,0.19607804287306796,0.6916582222795523
11895891,564,16326,9237,Granada,23156,1,19.2,0,65,1015,17,281,0.11,1,649,0,0,0.7335463810675419,0,0.39239853806933106,0.3199655108196209,0.287635951111048
11895888,564,16326,9242,Eibar,7083,1,18.6,23,58,1006,10,314,2.64,0,429,0,0,1.0,1,0.1505809073596206,0.20777753082656836,0.6416415618138109
