id,result,league_id,season_id,venue_id,venue_city,attendance,venue_capacity,home_country_id,venue_surface_isgrass,temp,cloudcover,humidity,pressure,visibility,winddir,windspeed,night_game,travel_dist(km),colors_home_color,colors_away_color,home_not_home,travel_outside_state,attendance_ratio,season_name_codes
402164,2,564,853,9233,Málaga,21800,28963,32,1,26.3,0,67,1013,10,107,3.94,0,519,GRN,YE,0,0,0.7526844594827884,0
96656,1,82,219,2171,Leipzig,42558,42558,11,1,28.0,0,42,1018,10,100,3.11,0,341,W,YE,0,0,1.0,0
2545,1,8,13,230,Liverpool,51232,54074,462,1,16.1,27,64,1014,10,316,3.58,0,152,RE,GRN,0,0,0.9474423937567038,0
253253,0,301,765,1715,Guingamp,12630,18378,17,1,16.2,88,87,1015,16,300,2.86,1,769,RE,BL,0,0,0.6872347371857656,0
253242,1,301,765,6154,Angers,44327,20000,17,1,22.6,0,59,1016,19,240,4.58,1,425,BL,W,1,0,1.0,0
253220,2,301,765,184,Villeneuve d'Ascq,29373,50186,17,1,22.8,2,49,1014,31,191,1.5,1,833,RE,W,0,1,0.5852827481767824,0
253231,1,301,765,37,Furiani,9966,16078,17,1,25.8,11,51,1012,15,263,1.64,1,660,BL,W,0,0,0.6198532155740764,0
253210,2,301,765,6032,Lorient,11000,18110,17,0,18.9,94,93,1015,15,234,2.89,1,719,RE,W,0,0,0.6073992269464384,0
403104,2,564,853,9236,Barcelona,74237,98787,32,1,26.1,25,89,1017,10,92,1.78,1,429,BL,W,0,0,0.751485519349712,0
299831,2,384,802,510,Palermo,10961,36349,251,1,25.0,50,65,1020,10,285,1.97,1,306,PU,RE,0,0,0.3015488734215522,0
403112,1,564,853,318243,Gijón,22682,29600,32,1,21.6,16,70,1016,12,327,1.81,0,388,RE,W,0,0,0.7662837837837838,0
299842,1,384,802,5515,Bologna,17903,36532,251,1,27.8,31,50,1016,10,67,0.92,0,612,RE,RE,0,0,0.4900635059673711,0
299855,1,384,802,13977,Bergamo,13000,26393,251,1,28.0,49,39,1015,10,141,2.58,0,175,GRN,W,1,0,0.49255484408744743,0
299866,0,384,802,443,Verona,11000,42160,251,1,29.9,28,40,1015,10,112,3.06,0,407,YE,W,0,0,0.26091081593927895,0
299881,2,384,802,1721,Milano,28303,80018,251,1,29.3,3,39,1015,10,150,2.44,0,324,RE,GRN,0,0,0.3537079157189632,0
299891,1,384,802,7189,Roma,27630,72698,251,1,25.5,24,62,1015,10,60,5.42,0,396,RE,W,0,0,0.3800654763542326,0
253264,2,301,765,6162,Nantes,19438,37473,17,1,24.9,86,54,1016,23,236,3.33,0,607,YE,W,0,0,0.5187201451711899,0
96677,2,82,219,2172,Bremen,39430,42100,11,1,23.0,88,68,1017,10,339,3.08,0,547,GRN,W,0,0,0.9365795724465559,0
403121,2,564,853,9240,Valencia,36789,54000,32,1,28.8,10,55,1015,10,117,4.36,0,544,W,RE,0,0,0.6812777777777778,0
253274,1,301,765,135,Rennes,20584,29778,17,1,23.8,89,47,1015,24,241,4.5,0,154,RE,BL,0,0,0.691248572771845,0
2555,0,8,13,208,Swansea,20865,20827,515,1,17.9,5,67,1013,24,163,7.89,0,260,W,YE,0,1,1.0,0
96702,0,82,219,262,Mainz,27408,34000,11,1,29.0,0,30,1014,10,230,3.11,0,97,RE,BL,0,0,0.8061176470588235,0
